Key,Type,Unit,Update,Explanation,Source
procs.tool.telemetry.confidence,RAW,ratio,on-collect,Confidence score (0-100%) for the telemetry data accuracy. Higher confidence means the data comes from a more reliable source.,"Set by each parser: - 0.95 (95%): Direct tool stats (Claude stats-cache, OTel spans) - 0.90 (90%): Copilot events.jsonl shutdown events - 0.85 (85%): Codex session.json - 0.75 (75%): Continue session files - 0.70 (70%): Cursor SQLite state - 0.60 (60%): Session file inference - 0.40 (40%): Network traffic inference"
procs.tool.telemetry.cost_usd,RAW *,usd,on-collect,"Estimated total cost in USD across all sessions for this tool. Based on the tool's own cost tracking, not recalculated by aictl.","From tool stats: costTracker.totalCostUSD (Claude Code), modelMetrics.*.requests.cost (Copilot), usage.cost_usd (Codex). Passed through from tool's native calculation."
procs.tool.telemetry.errors,RAW *,count,on-collect,"Errors encountered while collecting telemetry for this tool. Includes parse errors, missing files, permission issues, and API timeouts.",Accumulated during telemetry parsing. Each parser catches exceptions and records error type + message. Copilot-specific: timeout detection if avg API latency > 30s/request.
procs.tool.telemetry.input_tokens,RAW *,tokens,on-collect,Lifetime input tokens consumed by this tool — total tokens sent to the LLM across all sessions. Verified from the tool's native stats.,Tool-specific parser reads the tool's stats/telemetry file: - Claude Code: ~/.claude/stats-cache.json → costTracker.totalInputTokens - Copilot CLI: events.jsonl → session.shutdown → modelMetrics.*.usage.inputTokens - Codex CLI: session.json → usage.input_tokens - Cursor: state.vscdb SQLite → keys matching %token% - Continue: sessions/*.json → usage.promptTokens
procs.tool.telemetry.messages,RAW *,count,on-collect,Total number of messages (user+assistant turns) across all sessions.,From tool stats: costTracker.totalMessages (Claude Code). Not all tools expose message counts.
procs.tool.telemetry.output_tokens,RAW *,tokens,on-collect,Lifetime output tokens generated by this tool — total tokens received from the LLM across all sessions.,"Same tool-specific parsers as input_tokens, reading the output counterpart field from each tool's native stats format."
procs.tool.telemetry.premium_requests,AGGREGATED *,count,on-collect,Number of premium API requests used (Copilot CLI). Tracks quota consumption for rate-limited plans.,Accumulated from session.shutdown events in Copilot CLI events.jsonl. Field: totalPremiumRequests. Summed across all shutdown events.
procs.tool.telemetry.sessions,RAW *,count,on-collect,Total number of sessions recorded by this tool's telemetry.,"From tool stats: costTracker.totalSessions (Claude Code), count of session.shutdown events (Copilot), count of session files (Codex)."
samples.metric_chart,RAW *,count,realtime,Time series chart for a selected metric over the last 30 minutes.,samples table queried for the specific metric name within the time window. Raw numeric values plotted on time axis.
samples.metric_table,RAW *,count,realtime,"Table of recent samples (last 50) for the selected metric, showing timestamp, value, and all tags.","samples table queried for the metric, ordered by timestamp DESC, LIMIT 50. Tags are JSON-parsed and shown as dynamic columns."
samples.metric_list,RAW *,count,realtime,"Sidebar listing all metric names with sample counts, grouped by dotted-name prefix. Every data point emitted through the OTel- aligned sample sink appears here.","Distinct metric names from the samples table in DB, with counts. Metric names follow OTel conventions (system.cpu.*, process.*, gen_ai.*, aictl.*)."
sessions.active.cpu,AGGREGATED *,percent,realtime,Current CPU utilization across all processes in this session.,Sum of psutil cpu_percent for all PIDs in session.pids.
sessions.active.duration,DEDUCED *,seconds,realtime,How long the active session has been running (since root process was first observed).,now - session.started_at. started_at is set when SessionCorrelator first sees the root-candidate process.
sessions.active.file_events,RAW *,count,realtime,Number of file system events observed during this session.,"session.file_events counter, incremented on each file create/modify/ delete detected by filesystem watching or state dir scanning."
sessions.active.files_touched_list,RAW *,count,realtime,List of file paths modified during this session.,SessionState.files_touched — deduplicated set of file paths from add_file_activity() calls.
sessions.active.input_tokens,DEDUCED *,tokens,realtime,Input tokens consumed so far in this session.,"session.exact_input_tokens if available from telemetry, otherwise estimated from session file inference or network inference."
sessions.active.output_tokens,DEDUCED *,tokens,realtime,Output tokens generated so far in this session.,"session.exact_output_tokens if available from telemetry, otherwise estimated from session file inference or network inference."
sessions.active.peak_cpu,RAW *,percent,realtime,Peak CPU utilization recorded during this session's lifetime.,SessionState.peak_cpu_percent — maximum cpu_percent value tracked via add_cpu() across the session lifetime.
sessions.active.pids,RAW *,count,realtime,Number of OS process IDs belonging to this session.,len(session.pids). PIDs are added as child processes of the root process are discovered via ppid tracking.
sessions.active.process_tree,RAW *,count,realtime,"Hierarchical process tree showing parent-child relationships within the session. Processes are role-tagged: lead, teammate, subagent, subprocess.","Process tree built from ppid chains starting at root_pid. Roles assigned by process name pattern: ""claude"" → lead/teammate, agent patterns → subagent, everything else → subprocess. CPU and memory from psutil per process."
sessions.active.state_writes,AGGREGATED *,bytes,realtime,Total bytes written to state/session files during this session.,SessionState.state_bytes_written — accumulated growth_bytes from file events in state directories.
sessions.active.subprocesses,AGGREGATED *,count,realtime,"Subprocess types spawned during this session with counts (e.g. git: 12, rg: 8, bash: 3).","SessionState.subprocess_counter — Counter[str] tracking process names spawned as children, accumulated via add_subprocess()."
sessions.active.traffic,AGGREGATED *,bytes,realtime,Total network traffic (upload + download bytes) for this session.,SessionState.outbound_bytes + SessionState.inbound_bytes. Accumulated from on_network() calls throughout the session.
sessions.active.workspaces,RAW *,count,realtime,List of working directories (project roots) used during this session.,SessionState.workspaces — deduplicated set populated from root process cwd and file activity workspace detection.
sessions.agent_teams,RAW *,tokens,on-collect,"Agent team summaries showing multi-agent sessions. Displays team composition, per-agent token usage, model assignments, and completion status.","scan_agent_teams() reads subagent JSONL files at ~/.claude/projects/{project}/{session}/subagents/agent-*.jsonl. Per agent: input/output tokens from message.usage (cumulative), task (first user message, 200 chars), tools_used (from tool_use content blocks), completion (has final assistant message). Teams grouped by session."
sessions.agent_teams.agent_is_sidechain,RAW *,count,on-collect,Whether an agent runs as a sidechain (isolated worktree) vs main chain. Sidechain agents work in parallel on separate branches.,Direct read from first JSONL line's isSidechain boolean field in agent-*.jsonl.
sessions.agent_teams.agent_slug,RAW *,count,on-collect,"Short identifier/slug for each agent in a team (e.g. ""Explore"", ""test-runner"", ""Plan"").",Direct read from first JSONL line's slug field in agent-*.jsonl.
sessions.agent_teams.tools_used,AGGREGATED *,count,on-collect,"Union of all tool names called across agents in a team (e.g. Read, Edit, Bash, Grep, Agent).",Sorted union of tools_used across all agents in scan_agent_teams(). Extracted from tool_use content blocks in agent JSONL files.
sessions.agent_teams.warmup_count,DEDUCED *,count,on-collect,Number of warmup agents in a team — agents that were spawned but filtered out from display (e.g. initialization agents with minimal activity).,"Derived in scan_agent_teams() by counting agents that meet warmup criteria (minimal tokens, no meaningful task)."
sessions.history,RAW *,seconds,on-collect,"Table of past sessions with tool, session ID, duration, status, and end time.","events table filtered by kind=""session-end"" and ""session-start"". Duration = end_time - start_time. Status: ""active"" if no end event, ""ended"" otherwise."
sessions.timeline,RAW *,seconds,realtime,"Gantt chart showing session durations on a timeline. Ended sessions appear as horizontal bars, live sessions as marker dots.","Session history from /api/session-timeline endpoint. Each session has start_time, end_time (or ""live""), tool, and session_id. Rendered as lanes with time-proportional widths."
sessions.timeline.bytes_written,AGGREGATED *,bytes,on-collect,Total bytes written during this session across all file modifications.,Sum of growth_bytes from file_modified events for this session.
sessions.timeline.conversations,RAW *,count,on-collect,Number of conversation JSONL files found for this session. Each file represents a distinct conversation thread.,Count of .jsonl files in ~/.claude/projects/{project}/ matching the session. From query_session_profiles().
sessions.timeline.source_files,DEDUCED *,count,on-collect,"Number of source code files modified during this session (filtered to code file extensions like .py, .js, .ts).","Filtered count from file_modified events for this session, keeping only files with known source code extensions."
sessions.timeline.subagents,RAW *,count,on-collect,Number of subagent files found for this session. Indicates how many parallel agents were spawned.,Count of agent-*.jsonl files in the session's subagents/ directory. From query_session_profiles().
sessions.timeline.unique_files,AGGREGATED *,count,on-collect,Number of unique file paths modified during this session.,Cardinality of unique file paths from file_modified events for this session.
